sentence,product,part,class,processed_text_sentiment,processed_text_ner,ner_labels
Just got my hands on the iPhone 15 Pro Max and OMG! This camera is insane! #nofilterneeded,iPhone 15 Pro Max,camera,positive,got hand iphone pro max omg ! camera insane ! nofilterneeded,Just got hand iPhone 15 Pro Max OMG This camera insane nofilterneeded,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O B-PART O O
"Ugh, my Pixel 7's battery is already at 20% and it's only 2pm ???? Not cool Google!",Pixel 7,battery,negative,ugh pixel battery already pm not cool google !,Ugh Pixel 7 battery already 20 2pm Not cool Google,O B-PRODUCT I-PRODUCT B-PART O O O O O O
"Ngl, the Samsung Flip 5's bigger cover screen is a game changer. I barely open it anymore! ????",Samsung Flip 5,cover screen,positive,ngl samsung flip bigger cover screen game changer barely open anymore !,Ngl Samsung Flip 5 bigger cover screen game changer . I barely open anymore,O B-PRODUCT I-PRODUCT I-PRODUCT O B-PART I-PART O O O O O O O
My OnePlus 11's charging speed is ridiculous. 15 mins and I'm good to go! ??????,OnePlus 11,,positive,oneplus charging speed ridiculous min im good go !,My OnePlus 11 charging speed ridiculous . 15 min Im good go,O B-PRODUCT I-PRODUCT O O O O O O O O O
Kinda disappointed with my Xiaomi 13's night mode pics. They're so noisy ???? #photographyfail,Xiaomi 13,night mode,negative,kinda disappointed xiaomi night mode pic theyre noisy photographyfail,Kinda disappointed Xiaomi 13 night mode pic . Theyre noisy photographyfail,O O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O
"Yo, the Asus ROG Phone 7's cooling fan is lit! Marathon gaming sessions without the heat ??????????",Asus ROG Phone 7,cooling fan,positive,yo asus rog phone cooling fan lit ! marathon gaming session without heat,Yo Asus ROG Phone 7 cooling fan lit Marathon gaming session without heat,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
"NGL, the Motorola Edge 40's vegan leather back feels premium AF. No more fingerprint smudges! ????",Motorola Edge 40,vegan leather back,positive,ngl motorola edge vegan leather back feel premium af no fingerprint smudge !,NGL Motorola Edge 40 vegan leather back feel premium AF . No fingerprint smudge,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O O O
Just switched to the Sony Xperia 1 V and I'm shook. This 4K screen is ???? but RIP battery life ??????,Sony Xperia 1 V,4K screen,neutral,switched sony xperia v im shook k screen rip battery life,Just switched Sony Xperia 1 V Im shook . This 4K screen RIP battery life,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PART I-PART O O O
"The Nothing Phone 2's glyph interface is cool for like a day, then it's just meh ????",Nothing Phone 2,glyph interface,neutral,nothing phone glyph interface cool like day meh,The Nothing Phone 2 glyph interface cool like day meh,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
Loving my new Oppo Find X6 Pro! The periscope zoom is insane. I'm basically paparazzi now ????,Oppo Find X6 Pro,periscope zoom,positive,loving new oppo find x pro ! periscope zoom insane im basically paparazzo,Loving new Oppo Find X6 Pro The periscope zoom insane . Im basically paparazzo,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PART I-PART O O O O O
Can't deal with the bloatware on my new Realme GT Neo 5. Took forever to uninstall everything ????,Realme GT Neo 5,,negative,cant deal bloatware new realme gt neo took forever uninstall everything,Cant deal bloatware new Realme GT Neo 5 . Took forever uninstall everything,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O
"Yo, the iPhone 15's Dynamic Island is actually useful now. Loving the multitasking vibes ??????",iPhone 15,Dynamic Island,positive,yo iphone dynamic island actually useful loving multitasking vibe,Yo iPhone 15 Dynamic Island actually useful . Loving multitasking vibe,O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
My Galaxy S23 Ultra's S Pen is clutch for taking notes in class. No more paper for me! ????,Galaxy S23 Ultra,S Pen,positive,galaxy ultras pen clutch taking note class no paper !,My Galaxy S23 Ultra S Pen clutch taking note class . No paper,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
Kinda regretting getting the Pixel 7a. The camera's great but everything else is meh ????,Pixel 7a,camera,neutral,kinda regretting getting pixel camera great everything else meh,Kinda regretting getting Pixel 7a . The camera great everything else meh,O O O B-PRODUCT I-PRODUCT O O B-PART O O O O
OnePlus Nord 3's OxygenOS is clean AF. No bloatware in sight! ????,OnePlus Nord 3,,positive,oneplus nord oxygenos clean af no bloatware sight !,OnePlus Nord 3 OxygenOS clean AF . No bloatware sight,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
The Xiaomi 13 Pro's Leica cam is no joke. My Insta game just leveled up big time ????,Xiaomi 13 Pro,Leica camera,positive,xiaomi pro leica cam no joke insta game leveled big time,The Xiaomi 13 Pro Leica cam joke . My Insta game leveled big time,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
"Ngl, the Vivo X90 Pro+'s 1-inch sensor is overkill. Photos take forever to process ????",Vivo X90 Pro+,1-inch sensor,neutral,ngl vivo x pro inch sensor overkill photo take forever process,Ngl Vivo X90 Pro 1-inch sensor overkill . Photos take forever process,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
Just copped the Huawei P60 Pro and I'm shook. The zoom on this thing is insane! ????,Huawei P60 Pro,zoom,positive,copped huawei p pro im shook zoom thing insane !,Just copped Huawei P60 Pro Im shook . The zoom thing insane,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PART O O
The Moto G Power 2023's battery life is ridiculous. I'm on day 3 and still at 20%! ????,Moto G Power 2023,battery,positive,moto g power battery life ridiculous im day still !,The Moto G Power 2023 battery life ridiculous . Im day 3 still 20,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O O O
I'm not gonna lie the iPhone 15 Pro's Action button is way more useful than I thought ?,iPhone 15 Pro,Action button,positive,im not gon na lie iphone pro action button way useful thought ?,Im gon na lie iPhone 15 Pro Action button way useful I thought,O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
Bummed about my Galaxy Z Fold 5. The crease is still visible and it's distracting AF ????,Galaxy Z Fold 5,crease,negative,bummed galaxy z fold crease still visible distracting af,Bummed Galaxy Z Fold 5 . The crease still visible distracting AF,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O B-PART O O O O
The Pixel 8 Pro's temperature sensor is lowkey useful. No more burning my tongue on coffee! ?,Pixel 8 Pro,temperature sensor,positive,pixel pro temperature sensor lowkey useful no burning tongue coffee ! ?,The Pixel 8 Pro temperature sensor lowkey useful . No burning tongue coffee,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
My OnePlus 11R's alert slider is clutch for switching to silent mode in class. So underrated! ????,OnePlus 11R,alert slider,positive,oneplus r alert slider clutch switching silent mode class underrated !,My OnePlus 11R alert slider clutch switching silent mode class . So underrated,O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O
The Xiaomi Redmi Note 12's AMOLED screen at this price point? We eating good fam ????,Xiaomi Redmi Note 12,AMOLED screen,positive,xiaomi redmi note amoled screen price point ? eating good fam,The Xiaomi Redmi Note 12 AMOLED screen price point We eating good fam,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
Kinda underwhelmed by the Nothing Phone 2a's camera. Pics look washed out ???? #NoFilter ain't always good,Nothing Phone 2a,camera,negative,kinda underwhelmed nothing phone camera pic look washed nofilter aint always good,Kinda underwhelmed Nothing Phone 2a camera . Pics look washed NoFilter aint always good,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O O O
 the Oppo Reno 10 Pro's battery life is trash. Can't even make it through lunch ??????,Oppo Reno 10 Pro,battery,negative,oppo reno pro battery life trash cant even make lunch,Oppo Reno 10 Pro battery life trash . Cant even make lunch,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O O
Just upgraded to the Sony Xperia 5 V and I'm in love. This 21:9 screen is perfect for movies ????,Sony Xperia 5 V,21:9 screen,positive,upgraded sony xperia v im love screen perfect movie,Just upgraded Sony Xperia 5 V Im love . This 219 screen perfect movie,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PART I-PART O O
The Asus Zenfone 10's compact size is a vibe. Finally a phone that fits in my pocket! ????,Asus Zenfone 10,,positive,asus zenfone compact size vibe finally phone fit pocket !,The Asus Zenfone 10 compact size vibe . Finally phone fit pocket,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
Vivo V29 Pro's ring light for selfies is genius. No more bathroom lighting pics! ????,Vivo V29 Pro,ring light,positive,vivo v pro ring light selfies genius no bathroom lighting pic !,Vivo V29 Pro ring light selfies genius . No bathroom lighting pic,B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
Not feeling the Motorola Razr 40 Ultra's outer screen. It's too small to be useful ????,Motorola Razr 40 Ultra,outer screen,negative,not feeling motorola razr ultras outer screen small useful,Not feeling Motorola Razr 40 Ultra outer screen . It small useful,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
The Google Pixel Fold's software is smooth AF. Multitasking game on point! ????,Google Pixel Fold,,positive,google pixel fold software smooth af multitasking game point !,The Google Pixel Fold software smooth AF . Multitasking game point,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
Kinda disappointed with my iPhone 15 Plus. Feels like an iPhone 14S tbh ????,iPhone 15 Plus,,neutral,kinda disappointed iphone plus feel like iphone tbh,Kinda disappointed iPhone 15 Plus . Feels like iPhone 14S tbh,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
My Galaxy A54's camera is surprisingly good for a mid-range phone. Samsung stepping up! ????,Galaxy A54,camera,positive,galaxy camera surprisingly good midrange phone samsung stepping !,My Galaxy A54 camera surprisingly good mid-range phone . Samsung stepping,O B-PRODUCT I-PRODUCT B-PART O O O O O O O
The OnePlus Nord CE 3 Lite's 67W charging is clutch. Dead to 100% in no time! ???,OnePlus Nord CE 3 Lite,67W charging,positive,oneplus nord ce lites w charging clutch dead no time !,The OnePlus Nord CE 3 Lite 67W charging clutch . Dead 100 time,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
Xiaomi 13T Pro's speakers are trash. Can barely hear my tunes over the bus ????,Xiaomi 13T Pro,speakers,negative,xiaomi pro speaker trash barely hear tune bus,Xiaomi 13T Pro speaker trash . Can barely hear tune bus,B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O O
Just got the Pixel 7 Pro and I'm shook. The macro mode is insane for food pics! ????????,Pixel 7 Pro,macro mode,positive,got pixel pro im shook macro mode insane food pic !,Just got Pixel 7 Pro Im shook . The macro mode insane food pic,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PART I-PART O O O
The Oppo Find N3's multitasking is next level. Split screen actually useful now! ????,Oppo Find N3,,positive,oppo find n multitasking next level split screen actually useful !,The Oppo Find N3 multitasking next level . Split screen actually useful,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
 the iPhone 15 Pro Max's weight is annoying. My pinky's always sore ????,iPhone 15 Pro Max,,negative,iphone pro max weight annoying pinky always sore,iPhone 15 Pro Max weight annoying . My pinky always sore,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
 the Nothing Phone 2's clean software is a vibe. No bloatware in sight! ????,Nothing Phone 2,,positive,nothing phone clean software vibe no bloatware sight !,Nothing Phone 2 clean software vibe . No bloatware sight,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
The Realme 11 Pro+'s 100W charging is ridiculous. 0 to 100 real quick! ???,Realme 11 Pro+,100W charging,positive,realme pro w charging ridiculous real quick !,The Realme 11 Pro 100W charging ridiculous . 0 100 real quick,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
Kinda regretting my Huawei Mate X3 purchase. The lack of Google apps is a pain ????,Huawei Mate X3,,negative,kinda regretting huawei mate x purchase lack google apps pain,Kinda regretting Huawei Mate X3 purchase . The lack Google apps pain,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
Just switched to the Sony Xperia 1 V and I'm in love. Manual camera mode is ???? for my photography,Sony Xperia 1 V,manual camera mode,positive,switched sony xperia v im love manual camera mode photography,Just switched Sony Xperia 1 V Im love . Manual camera mode photography,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
The Moto G Stylus 5G (2023)'s pen is cool but like when am I ever gonna use it? ????,Moto G Stylus 5G (2023),stylus,neutral,moto g stylus g pen cool like ever gon na use ?,The Moto G Stylus 5G 2023 pen cool like I ever gon na use,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
 the Vivo X90's portrait mode is insane. My selfie game just leveled up! ???????,Vivo X90,portrait mode,positive,vivo x portrait mode insane selfie game leveled !,Vivo X90 portrait mode insane . My selfie game leveled,B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
The iPhone SE (2023)'s battery life is trash. Can't even make it to dinner without charging ??????,iPhone SE (2023),battery,negative,iphone se battery life trash cant even make dinner without charging,The iPhone SE 2023 battery life trash . Cant even make dinner without charging,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O O O O
 the OnePlus 11's Hasselblad colors are on point. My nature shots look so crisp! ????????,OnePlus 11,Hasselblad colors,positive,oneplus hasselblad color point nature shot look crisp !,OnePlus 11 Hasselblad color point . My nature shot look crisp,B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
Not feeling the Galaxy Z Flip 5's form factor. Feels gimmicky after a week ????,Galaxy Z Flip 5,,negative,not feeling galaxy z flip form factor feel gimmicky week,Not feeling Galaxy Z Flip 5 form factor . Feels gimmicky week,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
The Google Pixel 8's call screening feature is clutch. No more spam calls! ???????????????????,Google Pixel 8,call screening,positive,google pixel call screening feature clutch no spam call !,The Google Pixel 8 call screening feature clutch . No spam call,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
Just copped the Xiaomi 13 and I'm shook. This thing is faster than my laptop! ????,Xiaomi 13,,positive,copped xiaomi im shook thing faster laptop !,Just copped Xiaomi 13 Im shook . This thing faster laptop,O O B-PRODUCT I-PRODUCT O O O O O O O
Kinda disappointed with my Oppo Reno 10's night mode. Pics come out all grainy ????,Oppo Reno 10,night mode,negative,kinda disappointed oppo reno night mode pic come grainy,Kinda disappointed Oppo Reno 10 night mode . Pics come grainy,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
The Asus ROG Phone 7's gaming triggers are a game-changer. Mobile gaming will never be the same! ????,Asus ROG Phone 7,gaming triggers,positive,asus rog phone gaming trigger gamechanger mobile gaming never !,The Asus ROG Phone 7 gaming trigger game-changer . Mobile gaming never,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
 the Motorola Edge 40 Pro's curved screen is more annoying than cool. Accidental touches for days ????,Motorola Edge 40 Pro,curved screen,negative,motorola edge pro curved screen annoying cool accidental touch day,Motorola Edge 40 Pro curved screen annoying cool . Accidental touch day,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
 the Realme GT 5's haptics are next level. Typing feels so satisfying now! ????,Realme GT 5,haptics,positive,realme gt haptics next level typing feel satisfying !,Realme GT 5 haptics next level . Typing feel satisfying,B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O
The Huawei P60 Pro's variable aperture is cool but like  do I even notice a difference?,Huawei P60 Pro,variable aperture,neutral,huawei p pro variable aperture cool like even notice difference ?,The Huawei P60 Pro variable aperture cool like I even notice difference,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
Just upgraded to the iPhone 15 Pro and I'm in love. The 120Hz screen is butter smooth! ????,iPhone 15 Pro,120Hz screen,positive,upgraded iphone pro im love hz screen butter smooth !,Just upgraded iPhone 15 Pro Im love . The 120Hz screen butter smooth,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PART I-PART O O
 the Pixel 8 Pro's AI features are kinda creepy. It knows too much ??????,Pixel 8 Pro,AI features,neutral,pixel pro ai feature kinda creepy know much,Pixel 8 Pro AI feature kinda creepy . It know much,B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
The OnePlus Open's larger outer screen is clutch. Actually usable when closed! ????,OnePlus Open,outer screen,positive,oneplus open larger outer screen clutch actually usable closed !,The OnePlus Open larger outer screen clutch . Actually usable closed,O B-PRODUCT I-PRODUCT O B-PART I-PART O O O O O
Kinda regretting my Xiaomi Mix Fold 3 purchase. The software's mad buggy ????,Xiaomi Mix Fold 3,,negative,kinda regretting xiaomi mix fold purchase software mad buggy,Kinda regretting Xiaomi Mix Fold 3 purchase . The software mad buggy,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
 the Vivo V29's color-changing back is straight ????. Always getting compliments!,Vivo V29,color-changing back,positive,vivo v colorchanging back straight always getting compliment !,Vivo V29 color-changing back straight . Always getting compliment,B-PRODUCT I-PRODUCT B-PART I-PART O O O O O
The Galaxy A34's camera is trash in low light. All my club pics are just blurs ????,Galaxy A34,camera,negative,galaxy camera trash low light club pic blur,The Galaxy A34 camera trash low light . All club pic blur,O B-PRODUCT I-PRODUCT B-PART O O O O O O O O
 the Sony Xperia 10 V's 21:9 screen is perfect for reading manga. No more zooming! ????,Sony Xperia 10 V,21:9 screen,positive,sony xperia v screen perfect reading manga no zooming !,Sony Xperia 10 V 219 screen perfect reading manga . No zooming,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
Just switched to the Oppo Find X6 and I'm shook. The battery life is insane! ????,Oppo Find X6,battery,positive,switched oppo find x im shook battery life insane !,Just switched Oppo Find X6 Im shook . The battery life insane,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PART O O
The Moto G Power (2023)'s 5000mAh battery is clutch. I'm a heavy user and it lasts 2 days easy! ????,Moto G Power (2023),5000mAh battery,positive,moto g power mah battery clutch im heavy user last day easy !,The Moto G Power 2023 5000mAh battery clutch . Im heavy user last 2 day easy,O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O O
Not feeling the Nothing Phone 2a's glyph interface. It's more distracting than useful tbh ????,Nothing Phone 2a,glyph interface,negative,not feeling nothing phone glyph interface distracting useful tbh,Not feeling Nothing Phone 2a glyph interface . It distracting useful tbh,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
 the iPhone 15's USB-C port is a game-changer. One cable to rule them all! ????,iPhone 15,USB-C port,positive,iphone usbc port gamechanger one cable rule !,iPhone 15 USB-C port game-changer . One cable rule,B-PRODUCT I-PRODUCT B-PART I-PART O O O O O
Kinda disappointed with my Pixel 7a's screen brightness. Can barely see it outdoors ????,Pixel 7a,screen brightness,negative,kinda disappointed pixel screen brightness barely see outdoors,Kinda disappointed Pixel 7a screen brightness . Can barely see outdoors,O O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O
The OnePlus Nord 3's OxygenOS is clean AF. No bloatware in sight! ????,OnePlus Nord 3,,positive,oneplus nord oxygenos clean af no bloatware sight !,The OnePlus Nord 3 OxygenOS clean AF . No bloatware sight,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
Just copped the Xiaomi 13T and I'm in love. The Leica cameras are next level! ????,Xiaomi 13T,Leica cameras,positive,copped xiaomi im love leica camera next level !,Just copped Xiaomi 13T Im love . The Leica camera next level,O O B-PRODUCT I-PRODUCT O O O O B-PART I-PART O O
 the Galaxy S23's battery life is trash. Can't even make it through the workday ??????,Galaxy S23,battery,negative,galaxy s battery life trash cant even make workday,Galaxy S23 battery life trash . Cant even make workday,B-PRODUCT I-PRODUCT B-PART O O O O O O O
The Asus Zenfone 10's compact size is a vibe. Finally a phone that fits in my skinny jeans! ????,Asus Zenfone 10,,positive,asus zenfone compact size vibe finally phone fit skinny jean !,The Asus Zenfone 10 compact size vibe . Finally phone fit skinny jean,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
The iPhone 14 Pro's always-on display is a game-changer for checking notifications.,iPhone 14 Pro,always-on display,positive,iphone pro alwayson display gamechanger checking notification,The iPhone 14 Pro always-on display game-changer checking notification .,O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
Samsung Galaxy Z Fold 4's durability has improved but I'm still paranoid about breaking it.,Samsung Galaxy Z Fold 4,,neutral,samsung galaxy z fold durability improved im still paranoid breaking,Samsung Galaxy Z Fold 4 durability improved Im still paranoid breaking .,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
Can't stand the bloatware on my new Xiaomi 12. Took me hours to uninstall everything.,Xiaomi 12,,negative,cant stand bloatware new xiaomi took hour uninstall everything,Cant stand bloatware new Xiaomi 12 . Took hour uninstall everything .,O O O O B-PRODUCT I-PRODUCT O O O O O O
Google Pixel 7's call screening feature is a lifesaver for avoiding spam calls.,Google Pixel 7,call screening feature,positive,google pixel call screening feature lifesaver avoiding spam call,Google Pixel 7 call screening feature lifesaver avoiding spam call .,B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O
